date,china_average,seoul_average
2015-12-16,80.5,21
2015-12-17,130.1111111,46
2015-12-18,200.7222222,65
2015-12-19,207.1111111,59
2015-12-02,83.88888889,21
2015-12-20,290.5,55
2015-12-21,231.4444444,64
2015-12-22,318.7777778,58
2015-12-23,400,88
2015-12-24,313.0555556,32
2015-12-25,206.9444444,68
2015-12-26,64.33333333,33
2015-12-27,109.8888889,27
2015-12-28,154.7777778,61
2015-12-29,204.7777778,62
2015-12-03,94.88888889,46
2015-12-30,191.6666667,62
2015-12-31,191.6666667,NA
2015-12-04,149.1666667,38
2015-12-05,165.8888889,38
2015-12-06,174.8888889,55
2015-12-07,166.3888889,63
2015-12-08,107.7222222,73
2015-12-09,216.8888889,48
2015-02-01,125.2222222,48
2015-02-10,158.2777778,79
2015-02-11,127.6666667,42
2015-02-12,121.3888889,36
2015-02-13,132.7777778,58
2015-02-14,128,76
2015-02-15,140.6666667,46
2015-02-16,134.5,62
2015-02-17,96.05555556,63
2015-02-18,120.4444444,64
2015-02-19,66.44444444,57
2015-02-02,164.8333333,64
2015-02-20,98.83333333,29
2015-02-21,164.3333333,202
2015-02-22,109,554
2015-02-23,123.1666667,91
2015-02-24,132.6666667,70
2015-02-25,99.94444444,39
2015-02-26,62.94444444,34
2015-02-27,72.33333333,50
2015-02-28,115.4444444,80
2015-02-03,146.6111111,76
2015-02-04,79.38888889,83
2015-02-05,107.7222222,58
2015-02-06,127.5555556,53
2015-02-07,66.11111111,87
2015-02-08,96.44444444,41
2015-02-09,117.7777778,82
2015-03-01,108.3888889,80
2015-03-10,97.22222222,43
2015-03-11,129.1666667,37
2015-03-12,145.8888889,50
2015-03-13,102.5555556,43
2015-03-14,140.5555556,48
2015-03-15,131.7222222,78
2015-03-16,115.0555556,106
2015-03-17,89.16666667,77
2015-03-18,138.5555556,58
2015-03-19,181.0555556,87
2015-03-02,113.4444444,55
2015-03-20,158.4444444,127
2015-03-21,210.1111111,115
2015-03-22,109.2222222,58
2015-03-23,108.8888889,49
2015-03-24,98.11111111,48
2015-03-25,92.55555556,51
2015-03-26,92.22222222,59
2015-03-27,144.3888889,52
2015-03-28,351.4444444,64
2015-03-29,192.9444444,115
2015-03-03,66.83333333,45
2015-03-30,108.2777778,98
2015-03-31,63.22222222,29
2015-03-04,87.33333333,49
2015-03-05,104.5555556,52
2015-03-06,102.7222222,55
2015-03-07,96.94444444,70
2015-03-08,84.11111111,64
2015-03-09,82.55555556,33
2015-04-01,58.88888889,26
2015-04-10,105.8333333,68
2015-04-11,87.27777778,55
2015-04-12,61,30
2015-04-13,94.11111111,23
2015-04-14,116.5,40
2015-04-15,186.6666667,72
2015-04-16,144.1666667,68
2015-04-17,118.1111111,62
2015-04-18,74.61111111,36
2015-04-19,94.16666667,13
2015-04-02,79.5,35
2015-04-20,113.1111111,45
2015-04-21,106.6111111,67
2015-04-22,114.8888889,63
2015-04-23,136.7777778,68
2015-04-24,136.6111111,61
2015-04-25,117.2777778,40
2015-04-26,99.72222222,57
2015-04-27,97.38888889,49
2015-04-28,106.7222222,50
2015-04-29,120.0555556,34
2015-04-03,92.83333333,18
2015-04-30,88.61111111,48
2015-04-04,130.2222222,18
2015-04-05,88.33333333,54
2015-04-06,64.66666667,46
2015-04-07,86.05555556,30
2015-04-08,87.16666667,55
2015-04-09,111.9444444,58
2015-05-01,69.88888889,39
2015-05-10,56.66666667,48
2015-05-11,85.88888889,37
2015-05-12,102.8888889,61
2015-05-13,131.5,56
2015-05-14,109.8888889,86
2015-05-15,107.3888889,54
2015-05-16,112.7222222,57
2015-05-17,103.5555556,48
2015-05-18,116.6111111,51
2015-05-19,76.27777778,46
2015-05-02,108.8888889,28
2015-05-20,95.11111111,46
2015-05-21,93.11111111,55
2015-05-22,92.16666667,49
2015-05-23,109.7777778,34
2015-05-24,115.2222222,46
2015-05-25,101.5,44
2015-05-26,94.33333333,43
2015-05-27,77.22222222,44
2015-05-28,80.44444444,49
2015-05-29,90.61111111,44
2015-05-03,99,50
2015-05-30,99.22222222,44
2015-05-31,90.83333333,40
2015-05-04,101.7777778,42
2015-05-05,107.1111111,49
2015-05-06,103.9444444,47
2015-05-07,94.22222222,57
2015-05-08,74.88888889,45
2015-05-09,78.05555556,44
2015-06-01,98.72222222,39
2015-06-10,84,43
2015-06-11,100.2222222,47
2015-06-12,112.7777778,72
2015-06-13,81.72222222,34
2015-06-14,105.9444444,40
2015-06-15,114.2222222,51
2015-06-16,110.9444444,40
2015-06-17,101.4444444,31
2015-06-18,96.83333333,23
2015-06-19,64.11111111,40
2015-06-02,83.33333333,45
2015-06-20,87.5,23
2015-06-21,89.38888889,34
2015-06-22,92.77777778,36
2015-06-23,69.44444444,45
2015-06-24,55.22222222,44
2015-06-25,76.61111111,13
2015-06-26,86.77777778,11
2015-06-27,80.33333333,25
2015-06-28,65.94444444,25
2015-06-29,57.55555556,33
2015-06-03,91,43
2015-06-30,82.11111111,34
2015-06-04,89.94444444,36
2015-06-05,130.2222222,35
2015-06-06,106.3333333,34
2015-06-07,79.05555556,39
2015-06-08,112.3888889,48
2015-06-09,105.8333333,52
2015-07-01,80.44444444,48
2015-07-10,73.33333333,30
2015-07-11,73.22222222,11
2015-07-12,105.7777778,27
2015-07-13,108.1111111,66
2015-07-14,87,53
2015-07-15,97.55555556,12
2015-07-16,86.22222222,12
2015-07-17,79.88888889,30
2015-07-18,62.61111111,26
2015-07-19,70.88888889,23
2015-07-02,83.38888889,44
2015-07-20,84,27
2015-07-21,84.05555556,34
2015-07-22,85.22222222,27
2015-07-23,83.94444444,15
2015-07-24,84.61111111,20
2015-07-25,104.8333333,19
2015-07-26,101.5,30
2015-07-27,69.61111111,40
2015-07-28,71.66666667,36
2015-07-29,64.27777778,68
2015-07-03,75.27777778,34
2015-07-30,51.94444444,59
2015-07-31,82.83333333,51
2015-07-04,85.88888889,38
2015-07-05,100.3333333,33
2015-07-06,97.27777778,39
2015-07-07,101.2222222,11
2015-07-08,93.22222222,11
2015-07-09,88.83333333,19
2015-08-01,81.16666667,34
2015-08-10,78.61111111,59
2015-08-11,93.77777778,53
2015-08-12,106.4444444,43
2015-08-13,97.5,41
2015-08-14,81.66666667,59
2015-08-15,97.66666667,67
2015-08-16,107.6666667,28
2015-08-17,101.5,23
2015-08-18,82.94444444,39
2015-08-19,79,37
2015-08-02,64.22222222,34
2015-08-20,92.5,31
2015-08-21,97.94444444,40
2015-08-22,65.33333333,39
2015-08-23,69.38888889,33
2015-08-24,60.22222222,8
2015-08-25,60.44444444,10
2015-08-26,69.38888889,22
2015-08-27,81.61111111,31
2015-08-28,74.27777778,35
2015-08-29,78.11111111,36
2015-08-03,61.11111111,28
2015-08-30,71.94444444,37
2015-08-31,50.22222222,27
2015-08-04,90.22222222,35
2015-08-05,60.16666667,36
2015-08-06,71,42
2015-08-07,63.72222222,36
2015-08-08,60.05555556,22
2015-08-09,66.33333333,31
2015-09-01,53.44444444,27
2015-09-10,54.16666667,44
2015-09-11,58.05555556,22
2015-09-12,72,23
2015-09-13,86.22222222,35
2015-09-14,73.33333333,30
2015-09-15,82.5,17
2015-09-16,92.72222222,13
2015-09-17,102.4444444,19
2015-09-18,107.3333333,34
2015-09-19,95.27777778,52
2015-09-02,67.88888889,26
2015-09-20,102.5555556,53
2015-09-21,85.66666667,46
2015-09-22,86,45
2015-09-23,126.8888889,42
2015-09-24,104.4444444,38
2015-09-25,83.44444444,53
2015-09-26,102.7222222,39
2015-09-27,90.5,33
2015-09-28,71.72222222,28
2015-09-29,63.5,19
2015-09-03,83.44444444,33
2015-09-30,69.22222222,18
2015-09-04,58.27777778,36
2015-09-05,60.16666667,15
2015-09-06,62.77777778,13
2015-09-07,78.33333333,13
2015-09-08,76.16666667,17
2015-09-09,80.77777778,30
2016-01-10,84.55555556,43
2016-01-11,76.77777778,53
2016-01-12,115.3333333,42
