"","¿œ¿⁄","pm10"
"356",2019-12-22,54
"357",2019-12-23,67
"358",2019-12-24,54
"359",2019-12-25,50
"360",2019-12-26,39
"361",2019-12-27,48
"362",2019-12-28,49
"363",2019-12-29,41.9162995594714
"364",2019-12-30,41.9162995594714
"365",2019-12-31,38
"366",2020-01-01,60
"367",2020-01-02,64
"368",2020-01-03,58
"369",2020-01-04,56
"370",2020-01-05,43
"371",2020-01-06,10
"372",2020-01-07,28
"373",2020-01-08,52
"374",2020-01-09,61
"375",2020-01-10,56
"376",2020-01-11,48
"377",2020-01-12,29
"378",2020-01-13,33
"379",2020-01-14,41
"380",2020-01-15,45
"381",2020-01-16,59
"382",2020-01-17,61
"383",2020-01-18,59
"384",2020-01-19,56
"385",2020-01-20,48
"386",2020-01-21,51
"387",2020-01-22,61
"388",2020-01-23,65
"389",2020-01-24,52
"390",2020-01-25,30
"391",2020-01-26,10
"392",2020-01-27,12
"393",2020-01-28,17
"394",2020-01-29,20
"395",2020-01-30,29
"396",2020-01-31,63
"397",2020-02-01,65
"398",2020-02-02,30
"399",2020-02-03,27
"400",2020-02-04,27
"401",2020-02-05,44
"402",2020-02-06,41
"403",2020-02-07,44
"404",2020-02-08,40
"405",2020-02-09,52
"406",2020-02-10,59
"407",2020-02-11,51
"408",2020-02-12,65
"409",2020-02-13,75
"410",2020-02-14,64
"411",2020-02-15,26
"412",2020-02-16,30
"413",2020-02-17,26
"414",2020-02-18,37
"415",2020-02-19,61
"416",2020-02-20,62
"417",2020-02-21,64
"418",2020-02-22,27
"419",2020-02-23,40
"420",2020-02-24,22
"421",2020-02-25,19
"422",2020-02-26,15
"423",2020-02-27,28
"424",2020-02-28,27
"425",2020-02-29,49
"426",2020-03-01,43
"427",2020-03-02,40
"428",2020-03-03,44
"429",2020-03-04,39
"430",2020-03-05,45
"431",2020-03-06,59
"432",2020-03-07,61
"433",2020-03-08,61
"434",2020-03-09,41
"435",2020-03-10,38
"436",2020-03-11,38
"437",2020-03-12,35
"438",2020-03-13,41
"439",2020-03-14,45
"440",2020-03-15,27
"441",2020-03-16,49
"442",2020-03-17,58
"443",2020-03-18,58
"444",2020-03-19,46
"445",2020-03-20,54
"446",2020-03-21,39
"447",2020-03-22,45
"448",2020-03-23,58
"449",2020-03-24,53
"450",2020-03-25,54
"451",2020-03-26,46
"452",2020-03-27,37
"453",2020-03-28,46
"454",2020-03-29,56
"455",2020-03-30,53
"456",2020-03-31,66
