"","일자","교통량합계"
"181",20180630,10846456.2022787
"182",20180701,9339426.62731249
"183",20180702,10846527.6541358
"184",20180703,11444137.0095898
"185",20180704,11576095.687206
"186",20180705,11393732.7647383
"187",20180706,11797012.000509
"188",20180707,11430288.0419059
"189",20180708,10165240.5762754
"190",20180709,11006504.3336939
"191",20180710,11330420.8272459
"192",20180711,11509220.4955809
"193",20180712,11622815.071574
"194",20180713,11904489.5798179
"195",20180714,11441083.3953775
"196",20180715,10179987.1839668
"197",20180716,11400184.4387173
"198",20180717,11570730.2164836
"199",20180718,11660047.3194515
"200",20180719,11749791.3080763
"201",20180720,11742424.8310662
"202",20180721,11314637.9326896
"203",20180722,9998947.1159186
"204",20180723,11241965.841046
"205",20180724,11488594.4299214
"206",20180725,11553327.5607915
"207",20180726,11692972.0893909
"208",20180727,11748933.966313
"209",20180728,11039779.7733897
"210",20180729,9989393.6261541
"211",20180730,11320239.9444629
"212",20180731,11553488.7514842
"213",20180801,11498488.6588013
"214",20180802,11426211.7704253
"215",20180803,11487180.9930791
"216",20180804,11671533.1372033
"217",20180805,9704408.9275411
"218",20180806,10997931.1891662
"219",20180807,11276164.4251849
"220",20180808,11401682.9850876
"221",20180809,11409963.7340635
"222",20180810,11713160.0896704
"223",20180811,11274201.5212485
"224",20180812,9929651.04770415
"225",20180813,11294164.6210858
"226",20180814,11650734.5475232
"227",20180815,10398803.7112534
"228",20180816,11535019.7430553
"229",20180817,11665465.2690673
"230",20180818,11273873.6499867
"231",20180819,9962233.49901824
"232",20180820,11251427.5424307
"233",20180821,11268661.0712269
"234",20180822,11373348.8534415
"235",20180823,11074968.6207909
"236",20180824,10863038.3095929
"237",20180825,11383087.7922945
"238",20180826,10106871.8951163
"239",20180827,10936844.089003
"240",20180828,10988534.9526747
"241",20180829,11047838.3523468
"242",20180830,11359491.1173808
"243",20180831,11721745.5214032
"244",20180901,11293150.6637552
"245",20180902,10204590.7954409
"246",20180903,11050755.2565988
"247",20180904,11487966.5527138
"248",20180905,11709850.7873306
"249",20180906,11724151.4413311
"250",20180907,11916127.2183422
"251",20180908,11696764.8132586
"252",20180909,10449544.1721429
"253",20180910,11620661.1690871
"254",20180911,11822680.9736942
"255",20180912,11838343.7648083
"256",20180913,11928081.4909569
"257",20180914,11898549.6983113
"258",20180915,11418219.6203109
"259",20180916,10584482.5317566
"260",20180917,11595080.0037305
"261",20180918,11922278.6573327
"262",20180919,11979835.3820837
"263",20180920,11670471.2760532
"264",20180921,11701602.2603227
"265",20180922,11117069.492683
"266",20180923,9689108.56034715
"267",20180924,10235413.1207103
"268",20180925,9298670.89307481
"269",20180926,9466304.51033284
"270",20180927,11388175.7468293
"271",20180928,11938281.394761
"272",20180929,11415338.1814213
"273",20180930,10293103.8432797
"274",20181001,11659182.5230542
"275",20181002,11973522.3024841
"276",20181003,10824336.3925182
"277",20181004,11821453.7366645
"278",20181005,11658131.5398702
"279",20181006,10866405.0552597
"280",20181007,10334158.7206698
"281",20181008,11686317.9688614
"282",20181009,10732206.1015852
"283",20181010,11730934.0515942
"284",20181011,11906706.8372466
"285",20181012,12119408.4840179
"286",20181013,11749427.3818915
"287",20181014,10639876.8113589
"288",20181015,11605912.4009259
"289",20181016,11898610.8303153
"290",20181017,11890837.8585014
"291",20181018,11696730.4197116
"292",20181019,12018465.0895858
"293",20181020,11652084.7859998
"294",20181021,10699784.1815321
"295",20181022,11435959.5228001
"296",20181023,11784474.9409229
"297",20181024,11912438.2958118
"298",20181025,12074099.3036056
"299",20181026,11845803.7008996
"300",20181027,11789380.2091861
"301",20181028,10354756.5089117
"302",20181029,11723323.0367558
"303",20181030,11819041.6335742
"304",20181031,11795977.5227611
