"","일자","교통량"
"167",20190616,8904036.94971148
"168",20190617,10451549.2078012
"169",20190618,10482435.9539733
"170",20190619,10466521.465374
"171",20190620,10781442.7100981
"172",20190621,10765611.9098395
"173",20190622,10469423.2513028
"174",20190623,9164915.57056598
"175",20190624,10552053.0594855
"176",20190625,10670582.7191324
"177",20190626,10778351.6889893
"178",20190627,10764276.2159515
"179",20190628,10983590.2382831
"180",20190629,10232867.0885064
"181",20190630,9059850.41851973
"182",20190701,10510547.630821
"183",20190702,10654967.6112779
"184",20190703,10607501.0407047
"185",20190704,10697770.0059114
"186",20190705,10905367.5119592
"187",20190706,10284572.4727788
"188",20190707,9038470.60589436
"189",20190708,10467148.6541275
"190",20190709,10640016.2126372
"191",20190710,10534442.3681944
"192",20190711,10450184.290484
"193",20190712,10965166.4896428
"194",20190713,10175065.7728373
"195",20190714,9030365.80702663
"196",20190715,10197779.1463074
"197",20190716,10575436.1438501
"198",20190717,10689690.5083937
"199",20190718,10737039.0027193
"200",20190719,10922638.754262
"201",20190720,10111975.4099586
"202",20190721,8791230.94860601
"203",20190722,10506211.5599345
"204",20190723,10656524.5230032
"205",20190724,10491178.1505189
"206",20190725,10230312.6472648
"207",20190726,9965819.72838436
"208",20190727,10013681.1095024
"209",20190728,8489951.25711888
"210",20190729,10393617.8761582
"211",20190730,10509484.7900295
"212",20190731,10249445.3654856
"213",20190801,10493241.2650273
"214",20190802,10648605.1033835
"215",20190803,9839123.27934022
"216",20190804,8834692.06634369
"217",20190805,10389932.2374044
"218",20190806,10593701.8821039
"219",20190807,10360970.572035
"220",20190808,10645081.4869278
"221",20190809,10835714.2599108
"222",20190810,10169791.9897835
"223",20190811,9023516.227662
"224",20190812,10027628.8264774
"225",20190813,10586564.8940095
"226",20190814,10767680.8807165
"227",20190815,9160663.64485122
"228",20190816,10558249.1594723
"229",20190817,9997291.68982299
"230",20190818,8971199.86622901
"231",20190819,10482910.2187544
"232",20190820,10630752.8797177
"233",20190821,10578233.1063928
"234",20190822,10742913.8937212
"235",20190823,11062087.1435058
"236",20190824,10573407.8468189
"237",20190825,9395295.55788559
"238",20190826,10681496.47926
"239",20190827,10785045.0728103
"240",20190828,10909338.2579468
"241",20190829,10786911.7783324
"242",20190830,11093442.4633617
"243",20190831,10810667.1045978
"244",20190901,9514822.61361691
"245",20190902,10727616.768182
"246",20190903,10967465.1007013
"247",20190904,10518304.9676626
"248",20190905,10451420.389182
"249",20190906,10888184.5085434
"250",20190907,8828657.97020659
"251",20190908,9053487.16334661
"252",20190909,10660674.4841659
"253",20190910,10379045.6571728
"254",20190911,10772979.9660515
"255",20190912,8778278.81349282
"256",20190913,9265903.10363347
"257",20190914,8156863.36322746
"258",20190915,8425444.51802745
"259",20190916,10522276.0515063
"260",20190917,10666095.920874
"261",20190918,10715372.8212122
"262",20190919,10741508.3350248
"263",20190920,10930142.7854669
"264",20190921,10382952.3353135
"265",20190922,8656444.69858473
"266",20190923,10615080.3413384
"267",20190924,10832300.8048602
"268",20190925,10850268.2229331
"269",20190926,10905261.8840342
"270",20190927,11055109.6513531
"271",20190928,10591472.0323624
"272",20190929,9473034.93048101
"273",20190930,10699658.6308554
"274",20191001,10816274.7957374
"275",20191002,10611125.3598282
"276",20191003,9185347.12600612
"277",20191004,10800635.1743977
"278",20191005,10163168.8519287
"279",20191006,9186261.3492262
"280",20191007,10140322.2727047
"281",20191008,10952703.600554
"282",20191009,9600699.56477719
"283",20191010,10716241.4616644
"284",20191011,11008999.8940674
"285",20191012,10495078.3921296
"286",20191013,9419819.06355178
"287",20191014,10697774.9858977
"288",20191015,10814480.8054791
"289",20191016,10890935.0716168
"290",20191017,10890750.6627055
"291",20191018,11013097.8611254
"292",20191019,10520143.2231923
"293",20191020,9368437.08330014
"294",20191021,10576222.0380011
"295",20191022,10679720.8139415
"296",20191023,10657260.2733518
"297",20191024,10766208.4991259
"298",20191025,10874245.893327
"299",20191026,10454802.0421109
"300",20191027,9391734.20079855
"301",20191028,10448873.2214242
"302",20191029,10656614.6620526
"303",20191030,10795863.7338561
"304",20191031,10693534.2028845
"305",20191101,10887124.2173918
"306",20191102,10436014.2599108
"307",20191103,9300188.40773159
"308",20191104,10554534.1552048
"309",20191105,10756572.726961
"310",20191106,10751045.2350255
"311",20191107,10832751.5472979
"312",20191108,11009501.7140482
"313",20191109,10506738.7714341
"314",20191110,9301601.39174552
"315",20191111,10652487.0355786
"316",20191112,10644351.9600665
"317",20191113,10582903.5115605
"318",20191114,10826933.8857098
"319",20191115,10631256.0361425
"320",20191116,10328179.0285107
"321",20191117,8991057.41494466
"322",20191118,10600237.7483565
"323",20191119,10811225.4212438
"324",20191120,10777255.853461
"325",20191121,10812024.7761457
"326",20191122,10997541.885892
"327",20191123,10445679.0700421
"328",20191124,9111854.42972885
"329",20191125,10510422.9314198
"330",20191126,10664773.8857098
"331",20191127,10703366.1956372
"332",20191128,10769276.9125227
"333",20191129,10954599.2567661
"334",20191130,10314016.0482778
"335",20191201,8650385.79835362
"336",20191202,10422780.0155398
"337",20191203,10483911.4744544
"338",20191204,10625770.1050591
"339",20191205,10728361.1569165
"340",20191206,10829252.3854307
"341",20191207,10123193.0281396
"342",20191208,8912577.36303256
"343",20191209,10424844.6846101
"344",20191210,10488283.2190671
"345",20191211,10675136.8182143
"346",20191212,10795853.2447347
"347",20191213,10902456.2371039
"348",20191214,10321198.7577135
"349",20191215,9076973.28146509
"350",20191216,10499862.9455432
"351",20191217,10345432.2966835
"352",20191218,10707725.4591547
"353",20191219,10757969.2378336
"354",20191220,10962316.412982
"355",20191221,10071368.2897809
"356",20191222,8877893.9437261
"357",20191223,10444217.693775
"358",20191224,10696258.472633
"359",20191225,8676524.11032421
"360",20191226,10405030.9179586
"361",20191227,10757008.8314714
"362",20191228,9870856.64499726
"363",20191229,8533533.10505907
"364",20191230,10322693.4156661
"365",20191231,10473153.0728103
