"","date","china_average","seoul_average"
"248","2014/6/14",110.666666666667,42
"249","2014/6/15",110.888888888889,44
"250","2014/6/16",85.2777777777778,37
"251","2014/6/17",84,68
"252","2014/6/18",111,51
"253","2014/6/19",72.3333333333333,53
"254","2014/6/2",67.7222222222222,77
"255","2014/6/20",77.4444444444444,56
"256","2014/6/21",100.944444444444,27
"257","2014/6/22",96.7222222222222,22
"258","2014/6/23",108.388888888889,33
"259","2014/6/24",116.111111111111,45
"260","2014/6/25",97.5555555555556,55
"261","2014/6/26",91.1666666666667,52
"262","2014/6/27",94.1666666666667,37
"263","2014/6/28",118.722222222222,40
"264","2014/6/29",107.722222222222,35
"265","2014/6/3",89.3888888888889,30
"266","2014/6/30",124.388888888889,36
"267","2014/6/4",96.1666666666667,23
"268","2014/6/5",126,21
"269","2014/6/6",77.3333333333333,30
"270","2014/6/7",103.555555555556,39
"271","2014/6/8",97,35
"272","2014/6/9",99.4444444444444,44
"273","2014/7/1",83.5555555555556,48
"274","2014/7/10",110.388888888889,33
"275","2014/7/11",120.333333333333,59
"276","2014/7/12",98.5555555555556,67
"277","2014/7/13",104.5,57
"278","2014/7/14",85.6111111111111,70
"279","2014/7/15",97.6111111111111,79
"280","2014/7/16",92.7777777777778,55
"281","2014/7/17",85.1666666666667,24
"282","2014/7/18",86.7777777777778,16
"283","2014/7/19",83.1666666666667,47
"284","2014/7/2",86.2222222222222,70
"285","2014/7/20",98.1666666666667,56
"286","2014/7/21",98.5,58
"287","2014/7/22",83.1111111111111,19
"288","2014/7/23",100.277777777778,18
"289","2014/7/24",52.1111111111111,12
"290","2014/7/25",98.5555555555556,18
"291","2014/7/26",114.944444444444,32
"292","2014/7/27",116.722222222222,72
"293","2014/7/28",98.7222222222222,66
"294","2014/7/29",72.2777777777778,41
"295","2014/7/3",97.0555555555556,25
"296","2014/7/30",101.888888888889,30
"297","2014/7/31",76.2222222222222,29
"298","2014/7/4",94.1111111111111,19
"299","2014/7/5",95.0555555555556,35
"300","2014/7/6",105,27
"301","2014/7/7",112.777777777778,35
"302","2014/7/8",104.444444444444,32
"303","2014/7/9",95.0555555555556,22
"304","2014/8/1",71.7222222222222,18
"305","2014/8/10",107.666666666667,12
"306","2014/8/11",93.2222222222222,26
"307","2014/8/12",79.9444444444444,59
"308","2014/8/13",79.7777777777778,67
"309","2014/8/14",107.555555555556,30
"310","2014/8/15",106,35
"311","2014/8/16",90.1666666666667,44
"312","2014/8/17",71.3888888888889,43
"313","2014/8/18",94.5555555555556,8
"314","2014/8/19",114.611111111111,15
"315","2014/8/2",89.4444444444444,14
"316","2014/8/20",120.055555555556,34
"317","2014/8/21",111.777777777778,17
"318","2014/8/22",114.611111111111,62
"319","2014/8/23",79.8888888888889,71
"320","2014/8/24",84.4444444444444,61
"321","2014/8/25",105.888888888889,49
"322","2014/8/26",108.222222222222,13
"323","2014/8/27",92,9
"324","2014/8/28",99.3333333333333,19
"325","2014/8/29",97.2777777777778,26
"326","2014/8/3",119.444444444444,9
"327","2014/8/30",82.7777777777778,23
"328","2014/8/31",91.1666666666667,26
"329","2014/8/4",83.5555555555556,10
"330","2014/8/5",74.4444444444444,47
"331","2014/8/6",73.3333333333333,49
"332","2014/8/7",83.0555555555556,43
"333","2014/8/8",74.5,21
"334","2014/8/9",79.2777777777778,22
"335","2014/9/1",66.6666666666667,33
"336","2014/9/10",86.1666666666667,29
"337","2014/9/11",70.2222222222222,40
"338","2014/9/12",80.5,42
"339","2014/9/13",82.1111111111111,23
"340","2014/9/14",72.9444444444444,16
"341","2014/9/15",69.6111111111111,40
"342","2014/9/16",60.4444444444444,37
"343","2014/9/17",85.1666666666667,53
"344","2014/9/18",104.277777777778,23
"345","2014/9/19",94.3333333333333,31
"346","2014/9/2",59.1666666666667,23
"347","2014/9/20",101.5,32
"348","2014/9/21",113.444444444444,32
"349","2014/9/22",103,30
"350","2014/9/23",103.611111111111,26
"351","2014/9/24",91.3333333333333,19
"352","2014/9/25",107.888888888889,22
"353","2014/9/26",124.5,28
"354","2014/9/27",115.722222222222,34
"355","2014/9/28",74.6111111111111,43
"356","2014/9/29",61,50
"357","2014/9/3",85.4444444444444,7
"358","2014/9/30",87.1111111111111,24
"359","2014/9/4",102.888888888889,16
"360","2014/9/5",106,28
"361","2014/9/6",109.777777777778,37
"362","2014/9/7",108.222222222222,48
"363","2014/9/8",94.5,54
"364","2014/9/9",93.7222222222222,56
"365","2015/1/1",NA,32
"366","2015/1/10",164.666666666667,50
"367","2015/1/11",84.5,49
"368","2015/1/12",99.7777777777778,62
"369","2015/1/13",116.944444444444,72
"370","2015/1/14",191.777777777778,64
"371","2015/1/15",189.833333333333,77
"372","2015/1/16",99.4444444444444,39
"373","2015/1/17",127.833333333333,36
"374","2015/1/18",117.277777777778,64
"375","2015/1/19",108.055555555556,52
"376","2015/1/2",138.777777777778,43
"377","2015/1/20",113.777777777778,64
"378","2015/1/21",96.8888888888889,50
"379","2015/1/22",131.611111111111,46
"380","2015/1/23",172.611111111111,57
"381","2015/1/24",112.055555555556,67
"382","2015/1/25",124.833333333333,44
"383","2015/1/26",59.8888888888889,54
"384","2015/1/27",69.8888888888889,50
"385","2015/1/28",89.3333333333333,56
"386","2015/1/29",93.6111111111111,43
"387","2015/1/3",223.111111111111,48
"388","2015/1/30",88.1666666666667,46
"389","2015/1/31",104.833333333333,34
"390","2015/1/4",234.111111111111,71
"391","2015/1/5",76.2222222222222,40
"392","2015/1/6",98.3888888888889,39
"393","2015/1/7",163.722222222222,47
"394","2015/1/8",263.944444444444,53
"395","2015/1/9",250.777777777778,44
"396","2015/10/1",114.944444444444,32
"397","2015/10/10",83.8888888888889,18
"398","2015/10/11",100.833333333333,19
"399","2015/10/12",114.611111111111,30
"400","2015/10/13",165.055555555556,53
"401","2015/10/14",165.944444444444,62
"402","2015/10/15",201.055555555556,73
"403","2015/10/16",156.333333333333,64
"404","2015/10/17",130.888888888889,71
"405","2015/10/18",109.5,87
"406","2015/10/19",147.666666666667,89
"407","2015/10/2",162.333333333333,45
"408","2015/10/20",127.722222222222,97
"409","2015/10/21",101.611111111111,78
"410","2015/10/22",123.333333333333,55
"411","2015/10/23",130.222222222222,38
"412","2015/10/24",74.1666666666667,33
"413","2015/10/25",76.2222222222222,37
"414","2015/10/26",88.9444444444444,37
"415","2015/10/27",103.444444444444,34
"416","2015/10/28",76.5,25
"417","2015/10/29",73.2222222222222,32
"418","2015/10/3",176.722222222222,30
"419","2015/10/30",93.5555555555556,32
"420","2015/10/31",93.1666666666667,45
"421","2015/10/4",149.444444444444,32
"422","2015/10/5",131.777777777778,35
"423","2015/10/6",87.0555555555556,47
"424","2015/10/7",70.8888888888889,59
"425","2015/10/8",91.8333333333333,36
"426","2015/10/9",72.6111111111111,26
