"","year","month","re_china_average","re_seoul_average"
"317","2014"," 8",114.611111111111,62
"318","2014"," 8",79.8888888888889,71
"319","2014"," 8",84.4444444444444,61
"320","2014"," 8",105.888888888889,49
"321","2014"," 8",108.222222222222,13
"322","2014"," 8",92,9
"323","2014"," 8",99.3333333333333,19
"324","2014"," 8",97.2777777777778,26
"325","2014"," 8",119.444444444444,9
"326","2014"," 8",82.7777777777778,23
"327","2014"," 8",91.1666666666667,26
"328","2014"," 8",83.5555555555556,10
"329","2014"," 8",74.4444444444444,47
"330","2014"," 8",73.3333333333333,49
"331","2014"," 8",83.0555555555556,43
"332","2014"," 8",74.5,21
"333","2014"," 8",79.2777777777778,22
"334","2014"," 9",66.6666666666667,33
"335","2014"," 9",86.1666666666667,29
"336","2014"," 9",70.2222222222222,40
"337","2014"," 9",80.5,42
"338","2014"," 9",82.1111111111111,23
"339","2014"," 9",72.9444444444444,16
"340","2014"," 9",69.6111111111111,40
"341","2014"," 9",60.4444444444444,37
"342","2014"," 9",85.1666666666667,53
"343","2014"," 9",104.277777777778,23
"344","2014"," 9",94.3333333333333,31
"345","2014"," 9",59.1666666666667,23
"346","2014"," 9",101.5,32
"347","2014"," 9",113.444444444444,32
"348","2014"," 9",103,30
"349","2014"," 9",103.611111111111,26
"350","2014"," 9",91.3333333333333,19
"351","2014"," 9",107.888888888889,22
"352","2014"," 9",124.5,28
"353","2014"," 9",115.722222222222,34
"354","2014"," 9",74.6111111111111,43
"355","2014"," 9",61,50
"356","2014"," 9",85.4444444444444,7
"357","2014"," 9",87.1111111111111,24
"358","2014"," 9",102.888888888889,16
"359","2014"," 9",106,28
"360","2014"," 9",109.777777777778,37
"361","2014"," 9",108.222222222222,48
"362","2014"," 9",94.5,54
"363","2014"," 9",93.7222222222222,56
"364","2015"," 1",164.666666666667,50
"365","2015"," 1",84.5,49
"366","2015"," 1",99.7777777777778,62
"367","2015"," 1",116.944444444444,72
"370","2015"," 1",99.4444444444444,39
"371","2015"," 1",127.833333333333,36
"372","2015"," 1",117.277777777778,64
"373","2015"," 1",108.055555555556,52
"374","2015"," 1",138.777777777778,43
"375","2015"," 1",113.777777777778,64
"376","2015"," 1",96.8888888888889,50
"377","2015"," 1",131.611111111111,46
"378","2015"," 1",172.611111111111,57
"379","2015"," 1",112.055555555556,67
"380","2015"," 1",124.833333333333,44
"381","2015"," 1",59.8888888888889,54
"382","2015"," 1",69.8888888888889,50
"383","2015"," 1",89.3333333333333,56
"384","2015"," 1",93.6111111111111,43
"386","2015"," 1",88.1666666666667,46
"387","2015"," 1",104.833333333333,34
"389","2015"," 1",76.2222222222222,40
"390","2015"," 1",98.3888888888889,39
"391","2015"," 1",163.722222222222,47
"394","2015","10",114.944444444444,32
"395","2015","10",83.8888888888889,18
"396","2015","10",100.833333333333,19
"397","2015","10",114.611111111111,30
"398","2015","10",165.055555555556,53
"399","2015","10",165.944444444444,62
"401","2015","10",156.333333333333,64
"402","2015","10",130.888888888889,71
"403","2015","10",109.5,87
"404","2015","10",147.666666666667,89
"405","2015","10",162.333333333333,45
"406","2015","10",127.722222222222,97
"407","2015","10",101.611111111111,78
"408","2015","10",123.333333333333,55
"409","2015","10",130.222222222222,38
"410","2015","10",74.1666666666667,33
"411","2015","10",76.2222222222222,37
"412","2015","10",88.9444444444444,37
"413","2015","10",103.444444444444,34
"414","2015","10",76.5,25
"415","2015","10",73.2222222222222,32
"417","2015","10",93.5555555555556,32
"418","2015","10",93.1666666666667,45
"419","2015","10",149.444444444444,32
"420","2015","10",131.777777777778,35
"421","2015","10",87.0555555555556,47
"422","2015","10",70.8888888888889,59
"423","2015","10",91.8333333333333,36
"424","2015","10",72.6111111111111,26
"425","2015","11",129.888888888889,56
"426","2015","11",140.611111111111,45
"427","2015","11",157.944444444444,17
"428","2015","11",104.666666666667,15
"429","2015","11",99.2777777777778,12
"430","2015","11",130.055555555556,21
"431","2015","11",88,31
"432","2015","11",79.1111111111111,19
"433","2015","11",63.5555555555556,12
"434","2015","11",91.3888888888889,16
"435","2015","11",114.611111111111,38
