"¿œΩ√","º≠«≥ count"
2017-10-13,30
2017-10-14,NA
2017-10-15,6
2017-10-16,19
2017-10-17,11
2017-10-18,0
2017-10-19,12
2017-10-20,18
2017-10-21,8
2017-10-22,2
2017-10-23,13
2017-10-24,19
2017-10-25,28
2017-10-26,21
2017-10-27,23
2017-10-28,14
2017-10-29,37
2017-10-30,39
2017-10-31,25
2017-11-01,23
2017-11-02,21
2017-11-03,NA
2017-11-04,42
2017-11-05,27
2017-11-06,19
2017-11-07,6
2017-11-08,41
2017-11-09,19
2017-11-10,21
2017-11-11,38
2017-11-12,21
2017-11-13,6
2017-11-14,36
2017-11-15,35
2017-11-16,25
2017-11-17,3
2017-11-18,44
2017-11-19,37
2017-11-20,25
2017-11-21,18
2017-11-22,19
2017-11-23,39
2017-11-24,22
2017-11-25,0
2017-11-26,18
2017-11-27,16
2017-11-28,15
2017-11-29,42
2017-11-30,43
2017-12-01,30
2017-12-02,8
2017-12-03,0
2017-12-04,38
2017-12-05,NA
2017-12-06,NA
2017-12-07,28
2017-12-08,37
2017-12-09,7
2017-12-10,16
2017-12-11,38
2017-12-12,0
2017-12-17,35
2017-12-18,9
2017-12-19,38
2017-12-20,7
2017-12-21,30
2017-12-22,5
2017-12-23,24
2017-12-24,20
2017-12-25,44
2017-12-26,42
2017-12-27,40
2017-12-28,33
2017-12-29,27
2017-12-30,15
2017-12-31,41
