"¿œΩ√","º≠«≥ count"
2014-05-07,17
2014-05-08,28
2014-05-09,29
2014-05-10,10
2014-05-11,0
2014-05-12,22
2014-05-13,18
2014-05-14,36
2014-05-15,36
2014-05-16,36
2014-05-17,34
2014-05-18,21
2014-05-19,37
2014-05-20,23
2014-05-21,39
2014-05-22,35
2014-05-23,21
2014-05-24,29
2014-05-25,8
2014-05-26,31
2014-05-27,21
2014-05-28,22
2014-05-29,28
2014-05-30,24
2014-05-31,21
2014-06-01,36
2014-06-02,11
2014-06-03,0
2014-06-04,0
2014-06-05,0
2014-06-06,13
2014-06-07,34
2014-06-08,36
2014-06-09,29
2014-06-10,10
2014-06-11,9
2014-06-12,17
2014-06-13,27
2014-06-14,34
2014-06-15,38
2014-06-16,40
2014-06-17,25
2014-06-18,26
2014-06-19,32
2014-06-20,17
2014-06-21,2
2014-06-22,7
2014-06-23,3
2014-06-24,36
2014-06-25,31
2014-06-26,36
2014-06-27,40
2014-06-28,38
2014-06-29,26
2014-06-30,36
2014-07-01,29
2014-07-02,18
2014-07-03,0
2014-07-04,10
2014-07-05,24
2014-07-06,2
2014-07-07,18
2014-07-08,34
2014-07-09,2
2014-07-10,35
2014-07-11,31
2014-07-12,32
2014-07-13,22
2014-07-14,32
2014-07-15,23
2014-07-16,39
2014-07-17,24
2014-07-18,18
2014-07-19,37
2014-07-20,37
2014-07-21,33
2014-07-22,24
2014-07-23,22
2014-07-24,0
2014-07-25,1
2014-07-26,24
2014-07-27,24
2014-07-28,13
2014-07-29,5
2014-07-30,16
2014-07-31,13
2014-08-01,0
2014-08-02,0
2014-08-03,0
2014-08-04,24
2014-08-05,29
2014-08-06,29
2014-08-07,28
2014-08-08,0
2014-08-09,0
2014-08-10,7
2014-08-11,29
2014-08-12,40
2014-08-13,12
2014-08-14,1
2014-08-15,21
2014-08-16,36
2014-08-17,5
2014-08-18,0
2014-08-19,11
2014-08-20,15
2014-08-21,7
2014-08-22,33
2014-08-23,28
2014-08-24,11
2014-08-25,0
2014-08-26,0
2014-08-27,0
2014-08-28,13
2014-08-29,17
2014-08-30,10
2014-08-31,15
2014-09-01,12
2014-09-02,0
2014-09-03,14
2014-09-04,36
2014-09-05,26
2014-09-06,22
2014-09-07,24
2014-09-08,26
2014-09-09,35
2014-09-10,19
2014-09-11,11
2014-09-12,2
2014-09-13,0
2014-09-14,14
2014-09-15,31
2014-09-16,27
2014-09-17,25
2014-09-18,7
2014-09-19,13
2014-09-20,5
2014-09-21,4
2014-09-22,0
2014-09-23,0
2014-09-24,2
2014-09-25,17
2014-09-26,12
2014-09-27,30
2014-09-28,18
2014-09-29,12
2014-09-30,4
2014-10-01,11
2014-10-02,18
2014-10-03,42
2014-10-04,0
2014-10-05,0
2014-10-06,16
2014-10-07,16
2014-10-08,9
2014-10-09,17
2014-10-10,1
2014-10-11,0
2014-10-12,4
2014-10-13,0
2014-10-14,22
2014-10-15,14
2014-10-16,20
2014-10-17,15
2014-10-18,18
2014-10-19,10
2014-10-20,2
2014-10-21,0
2014-10-22,0
2014-10-23,14
2014-10-24,13
2014-10-25,15
2014-10-26,16
2014-10-27,40
2014-10-28,20
2014-10-29,11
2014-10-30,13
2014-10-31,0
2014-11-01,25
2014-11-02,45
2014-11-03,40
2014-11-04,17
2014-11-05,16
2014-11-06,22
2014-11-07,30
2014-11-08,16
2014-11-09,43
2014-11-10,19
2014-11-11,15
2014-11-12,45
2014-11-13,43
2014-11-14,22
2014-11-15,36
2014-11-16,16
2014-11-17,27
2014-11-18,42
2014-11-19,12
2014-11-20,11
2014-11-21,11
2014-11-22,26
2014-11-23,5
2014-11-24,8
2014-11-25,0
2014-11-26,7
2014-11-27,3
2014-11-28,6
2014-11-29,11
2014-11-30,11
2014-12-01,46
2014-12-02,44
2014-12-03,36
2014-12-04,29
2014-12-05,39
2014-12-06,34
2014-12-07,7
2014-12-08,29
2014-12-09,18
2014-12-10,17
2014-12-11,38
2014-12-12,30
2014-12-13,44
2014-12-14,21
2014-12-15,0
2014-12-16,41
2014-12-17,44
2014-12-18,32
2014-12-19,0
2014-12-20,34
2014-12-21,28
2014-12-22,25
2014-12-23,0
2014-12-24,26
2014-12-25,35
2014-12-26,37
2014-12-27,14
2014-12-28,2
2014-12-29,15
2014-12-30,35
2014-12-31,31
